name,lat,lon
伊豆大島（東京）,34.75,139.35
伊戸（静岡）,34.97,139.77
尾鷲（三重）, 34.06667 , 136.2
方座裏（三重）, 34.122101, 135.142242
くまの灘（三重）, 33.889714,136.101141
田辺（和歌山）, 33.73333 , 135.36667
串本（和歌山）,33.46839 , 135.77908
古座（和歌山）, 33.518252,135.822907
白浜（和歌山）, 33.68333 , 135.35
須江（和歌山） , 33.465079,135.825797
周参見（和歌山） , 33.55 , 135.5
舞子（神戸） , 34.627805,135.040651
日和佐（徳島） , 33.73255 , 134.53743
柏島（高知）, 32.77209 , 132.62778
鵜来島（高知） , 32.4807 , 132.2924
甲浦（高知）, 33.55 , 134.3
愛南（愛媛） , 32.96367 , 132.5661
恩納村（沖縄）,26.49,127.85
石垣島（沖縄）,24.34,124.15